participant_id,time_in_2012,time_in_2013,time_in_2014,time_in_2015,AGE,GENDER,timsec
0,15913,15409,16584,14024,52,1,14024
1,13045,14930,19757,10709,38.76666,1,14610
2,12800,11986,12219,11435,42.375,1,11509
3,16591,17122,16880,15360,16,1,15360
4,18747,19146,17396,18508,32,-1,18449
5,16067,16770,16220,15600,13,1,15600
6,17238,15369,17508,17220,27,-1,16833
7,18359,19170,19987,18511,33.5,1,15423
8,20360,21693,21470,21660,32,-1,21660
9,19972,20128,20327,17951,37,-1,17951
10,17144,17624,17153,15891,37,1,15891
11,12171,27073,23654,21600,23.75,1,21124
12,18707,18640,18248,19638,47,1,18808
13,14943,15291,15188,15515,52,1,15234
14,16549,17719,18147,18272,27,-1,17671
15,13961,13108,14121,12154,47,1,12154
16,13262,14108,14098,14681,32,-1,14037
17,16740,18568,15695,17712,34.4666666667,1,17178
18,14998,15696,20708,18351,28.7778,-1,17438
19,28828,29935,29626,30004,42,-1,30005
20,22302,22210,21946,20917,42,1,20917
21,18730,16367,17845,18972,52,1,17978
22,16531,13838,21600,18500,26.5,-1,17617
23,18388,15540,18520,17622,35.6666666667,-1,15819
24,15839,15884,16141,15895,42,1,15895
25,16283,17117,15074,15870,53,-1,17360
26,21564,21788,22714,20803,47,1,20803
27,11726,13020,13973,13884,47,1,13884
28,12640,13947,13894,14262,42,1,13685
29,13992,16316,16082,16926,47,1,15829
30,21993,23456,23781,23989,32,-1,23990
31,15074,14133,14927,12759,21,1,12759
32,14701,15211,14617,13104,56,-1,13104
33,24035,24911,23482,24467,42,1,24223
34,16638,16187,13467,17260,36.75,1,15888
35,22235,23157,22687,21982,42,1,21983
36,23581,22629,22808,21600,42,1,21600
37,15240,16289,17038,17176,32,1,17176
38,15288,16966,16526,15834,41.16665,1,14679
39,22186,21475,22125,20691,42,-1,20691
40,12648,17486,21600,21600,32,1,18333
41,15890,16563,17711,18068,32,1,17058
42,14840,15980,16010,15995,42,1,15706
43,13057,13795,13555,14500,27,1,13726
44,18872,17733,19323,18781,47,1,18677
45,16198,16788,17455,15693,47,1,15693
46,17056,16548,16859,16810,53.375,-1,16818
47,13749,15458,15051,15501,32,-1,15501
48,14241,13913,14829,14426,64.25,1,14352
49,16477,16585,17921,16264,42,1,16264
50,24493,25295,26348,24831,47,1,24831
51,18929,19943,19476,19195,27,-1,19195
52,16206,11840,15458,15034,27,1,14634
53,13448,15130,17422,16030,32,1,15507
54,21179,23581,23225,23653,37,-1,23653
55,22517,24327,24623,24397,32,-1,23966
56,14176,12347,14490,14554,27,1,13891
57,11397,12967,13830,13555,32,1,13555
58,14425,16013,16371,15864,27,-1,15668
59,16442,16406,14141,16874,26,1,15965
60,13564,14233,14401,15229,32,1,14356
61,13871,13625,13747,14782,27,1,14006
62,21136,20801,21407,19353,42,1,19353
63,18213,19247,18987,17404,32,-1,17404
64,13690,12887,12122,13388,36.3333333333,1,13021
65,12127,14119,13524,13683,47.83335,1,13363
66,12462,17207,12428,12897,48,1,12897
67,14491,15293,15130,13942,21,-1,13942
68,16686,18656,18404,18998,47,1,18186
69,12775,12547,13054,13757,16,1,13033
70,11892,13323,14240,14232,27,1,14233
71,17571,18866,18640,17256,42,1,17256
72,18356,18582,18430,16999,36,-1,18030
73,11587,13040,13467,13667,42,1,13668
74,20651,21251,21068,21265,27,1,21265
75,11831,13759,14033,12745,36,1,13533
76,15291,16580,16979,16944,18.5,-1,16448
77,15511,14860,15388,14104,53.5,-1,13721
78,15634,16397,16646,16110,37,-1,16110
79,18213,19981,19798,20291,52,1,20291
80,26408,27542,27672,27510,52,-1,27510
81,17789,16243,21600,18547,32,1,18544
82,15792,16750,17382,17874,52,1,16949
83,14044,15720,15674,16355,42,1,15448
84,14228,13497,15143,15080,27,-1,14487
85,17598,18430,16637,18810,53.5,1,17868
86,25521,26052,25969,26654,32,1,26049
87,19814,20057,20337,18359,36,-1,18353
88,29829,31123,30872,30319,37,-1,30310
89,17940,17924,18714,16543,32,1,16543
90,15017,14984,15483,12882,42,1,12882
91,18518,17558,16233,17957,42,1,17566
92,14585,16195,17088,16024,46.5555666667,1,15973
93,12046,17434,21600,17399,53.5,1,17119
94,19952,20156,19823,20848,42,-1,20194
95,18289,19579,19988,19135,34.5,-1,22212
96,16498,17741,19460,21341,53.25,1,18760
97,23025,25137,24315,24700,37,1,24294
98,17135,18160,18224,19094,42,1,18153
99,22149,22454,22031,20630,36,1,20630
100,15976,17612,17581,16933,45,-1,16933
101,15119,16455,15557,16039,21,1,15792
102,15533,17873,18170,18687,47,1,17565
103,19471,13488,19277,21600,32.5,1,18459
104,17230,14638,17960,17552,46.16665,-1,16845
105,15437,14779,21767,18686,25,-1,17667
106,15821,16145,18251,17684,21.8333333333,-1,16975
107,14506,15065,16014,16260,47,1,15461
108,12002,14114,13876,14415,27,1,13601
109,12448,13313,14479,13912,52,1,13913
110,15933,15877,15672,14736,21,1,14736
111,11012,13260,13559,13993,32,-1,12956
112,29711,29036,30052,27808,27,-1,27808
113,19697,18981,19609,17784,37,1,17784
114,14255,14167,21600,21600,45.5,1,17905
115,22046,21906,22639,19913,37,1,19913
116,16387,15338,16005,16227,57,-1,15989
117,19870,19261,20997,20450,40.6666666667,1,20450
118,16454,18132,17983,18124,21,-1,18124
119,12362,13162,13097,12816,52,1,12816
120,25047,24746,23828,25067,33.5,-1,24672
121,15166,15983,19785,17459,30.3333333333,1,17098
122,21600,14132,16819,13476,27.5,1,13476
123,17147,16434,18235,17725,47,-1,17385
124,20594,20597,20527,18235,46,-1,14871
125,15251,13008,14448,15356,36,1,14515
126,16255,14530,16787,16176,32,1,15937
127,15205,15712,16794,15984,57,1,15923
128,14517,15812,16467,16289,20.25,-1,15771
129,14242,16250,16591,18121,46.3333333333,1,14643
130,12437,13934,13480,13910,32,1,13440
131,18134,15975,17697,17817,32,1,17405
132,18294,16452,15391,16755,54.15,-1,16723
133,16276,13991,15730,16781,27,1,15694
134,11731,13921,13949,14495,52,1,13524
